"Name.of.Covered.Entity","State","Covered.Entity.Type","Individuals.Affected","Breach.Submission.Date","Type.of.Breach","Location.of.Breached.Information"
"Jessie Trice Community Health Center, Inc.","FL","Healthcare Provider",7888,2014-11-03,"Theft","Desktop Computer, Network Server"
"Coordinated Health ","PA","Healthcare Provider",13907,2014-10-31,"Theft","Laptop"
"Memorial Healthcare System","FL","Healthcare Provider",1782,2014-10-31,"Unauthorized Access/Disclosure","Email"
"Memorial Healthcare System","FL","Healthcare Provider",1782,2014-10-30,"Unauthorized Access/Disclosure","Email"
"Portland VA Medical Center","OR","Healthcare Provider",1740,2014-10-29,"Theft","Paper/Films"
"Burlington Northern Santa Fe Group Benefits Plan","TX","Health Plan",507,2014-10-28,"Loss","Other Portable Electronic Device"
"Multilingual Psychotherapy Centers, Inc","FL","Healthcare Provider",3500,2014-10-28,"Theft","Network Server"
"Quraishi, Nisar A ","NY","Healthcare Provider",20000,2014-10-22,"Theft","Paper/Films"
"Seven Counties Services, Inc.","KY","Healthcare Provider",727,2014-10-22,"Improper Disposal, Unauthorized Access/Disclosure","Paper/Films"
"Graybill Medical Group","CA","Healthcare Provider",1863,2014-10-15,"Theft","Other"
"Cone Health Medical Group","NC","Healthcare Provider",1872,2014-10-15,"Unauthorized Access/Disclosure","Paper/Films"
"City of Dallas Fire-Rescue Department","TX","Healthcare Provider",1000,2014-10-15,"Theft","Laptop"
"Southwest Virginia Physicians for Women","VA","Healthcare Provider",568,2014-10-10,"Theft, Unauthorized Access/Disclosure","Paper/Films"
"New York City Health & Hospitals Corporation","NY","Healthcare Provider",10058,2014-10-10,"Unauthorized Access/Disclosure","Paper/Films"
"Colorado Department of Health Care Policy & Financing","CO","Health Plan",15380,2014-10-10,"Unauthorized Access/Disclosure","Other"
"NYU Urology Associates","NY","Healthcare Provider",835,2014-10-10,"Unauthorized Access/Disclosure","Other Portable Electronic Device"
"Region Six of the Georgia Department of Behavioral Health and Developmental Disabilities","GA","Healthcare Provider",3397,2014-10-09,"Theft","Laptop"
"Cone Health Medical Group","NC","Healthcare Provider",1872,2014-10-09,"Unauthorized Access/Disclosure","Paper/Films"
"South Texas Veterans Health Care System","TX","Healthcare Provider",4000,2014-10-09,"Unauthorized Access/Disclosure","Paper/Films"
"UC Davis Medical Center, Privacy Manager Breach","CA","Healthcare Provider",1326,2014-10-08,"Hacking/IT Incident","Email"
"vonica chau DDS PA","TX","Healthcare Provider",810,2014-10-08,"Theft","Desktop Computer"
"Albertina Kerr Centers","OR","Healthcare Provider",1320,2014-10-06,"Theft","Laptop"
"Touchstone Medical Imaging, LLC","TN","Healthcare Provider",307528,2014-10-03,"Unauthorized Access/Disclosure","Network Server"
"Mount Sinai Beth Israel","NY","Healthcare Provider",10793,2014-10-03,"Theft","Laptop"
"U.S. Health Holdings, Ltd. o/b/o Macomb County, Michigan","MI","Health Plan",6302,2014-10-01,"Unauthorized Access/Disclosure","Other"
"American Family Care, Inc.","AL","Healthcare Provider",2588,2014-09-30,"Theft","Laptop"
"Compassionate Care Hospice of Central Louisiana, LLC","LA","Healthcare Provider",707,2014-09-26,"Theft","Laptop, Other"
"Madison Street Provider Network","CO","Healthcare Provider",523,2014-09-26,"Theft","Laptop"
"Owensboro Medical Practice, PLLC","KY","Healthcare Provider",4077,2014-09-25,"Unauthorized Access/Disclosure","Other Portable Electronic Device"
"New Mexico VA Health Care System","NM","Healthcare Provider",2657,2014-09-18,"Unauthorized Access/Disclosure","Paper/Films"
"Cook County Health and Hospitals System","IL","Healthcare Provider",767,2014-09-15,"Hacking/IT Incident","Email"
"Santa Fe Medical Group","NM","Healthcare Provider",843,2014-09-12,"Theft","Other Portable Electronic Device"
"Tampa General Hospital","FL","Healthcare Provider",675,2014-09-12,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Aventura Hospital and Medical Center","FL","Healthcare Provider",82601,2014-09-11,"Theft, Unauthorized Access/Disclosure","Network Server"
"Cedars-Sinai Health System","CA","Healthcare Provider",33136,2014-09-10,"Theft","Laptop"
"Kmart Corporation","IL","Healthcare Provider",1866,2014-09-10,"Unauthorized Access/Disclosure","Paper/Films"
"Wm. Jennings Bryan Dorn VA Medical Center","SC","Healthcare Provider",3637,2014-09-10,"Unauthorized Access/Disclosure","Paper/Films"
"Bon Secours Kentucky","KY","Healthcare Provider",697,2014-09-09,"Unauthorized Access/Disclosure","Other"
"ENT Partners of Texas (legally known as Irving-Coppell Ear, Nose and Throat) ","TX","Healthcare Provider",789,2014-09-09,"Loss, Theft","Laptop, Other Portable Electronic Device"
"Thomas Cristello, Chiropractor PC","NY","Healthcare Provider",914,2014-09-09,"Loss","Other Portable Electronic Device"
"The WellPoint Affiliated Covered Entities  ","IN","Health Plan",1464,2014-09-08,"Unauthorized Access/Disclosure","Paper/Films"
"Temple University Physicians","PA","Healthcare Provider",3780,2014-09-05,"Theft","Desktop Computer"
"Bulloch Pediatric Group, LLC","GA","Healthcare Provider",10000,2014-09-04,"Unauthorized Access/Disclosure","Paper/Films"
"AltaMed Health Services Corporation","CA","Healthcare Provider",3206,2014-08-29,"Theft","Desktop Computer, Network Server, Paper/Films"
"Memorial Hermann Health System","TX","Healthcare Provider",10604,2014-08-29,"Unauthorized Access/Disclosure","Desktop Computer"
"Duke University Health System","NC","Healthcare Provider",10993,2014-08-29,"Theft","Other Portable Electronic Device"
"Metropolitan Government of Nashville and Davidson County (Metro) Public Health Department","TN","Health Plan",1717,2014-08-29,"Other","Other"
"The Longstreet Clinic, P. C.","GA","Healthcare Provider",720,2014-08-28,"Improper Disposal","Other"
"Group Health Incorporated","NY","Health Plan",802,2014-08-27,"Unauthorized Access/Disclosure","Paper/Films"
"Midwest Womens Healthcare Specialist","MO","Healthcare Provider",1376,2014-08-26,"Improper Disposal","Paper/Films"
"Aventura Hospital and Medical Center","FL","Healthcare Provider",948,2014-08-26,"Theft","Desktop Computer"
"St. Elizabeth's Medical Center","MA","Healthcare Provider",595,2014-08-26,"Theft","Laptop, Other Portable Electronic Device"
"Specialty Clinics Of Georgia - Orthopaedics","GA","Healthcare Provider",2350,2014-08-25,"Theft","Paper/Films"
"Steven A. Goldman, MD Inc.","OH","Healthcare Provider",6141,2014-08-22,"Theft","Network Server"
"Oklahoma City Indian Clinic","OK","Healthcare Provider",6000,2014-08-22,"Unauthorized Access/Disclosure","Email"
"Community Health Systems Professional Services Corporations","TN","Healthcare Provider",6121158,2014-08-21,"Hacking/IT Incident","Network Server"
"Dennis Flynn MD","IL","Healthcare Provider",13646,2014-08-19,"Theft","Laptop"
"Tri-City Medical Center","CA","Healthcare Provider",500,2014-08-18,"Theft","Paper/Films"
"University Health","LA","Healthcare Provider",6073,2014-08-15,"Hacking/IT Incident","Network Server"
"State of Tennessee State Insurance Plan","TN","Health Plan",60582,2014-08-15,"Hacking/IT Incident","Network Server"
"CareAll Management, LLC","TN","Healthcare Provider",28300,2014-08-12,"Improper Disposal","Other"
"Kaiser Foundation Health Plan of Colorado","CO","Health Plan",11551,2014-08-12,"Other, Unauthorized Access/Disclosure","Other"
"Apple Valley Care Center","CA","Healthcare Provider",1251,2014-08-12,"Hacking/IT Incident","Network Server"
"Central Utah Clinic","UT","Healthcare Provider",31677,2014-08-07,"Hacking/IT Incident","Network Server"
"Jersey City Medical Center","NJ","Healthcare Provider",36400,2014-08-07,"Loss","Other Portable Electronic Device"
"MobilexUSA","OH","Healthcare Provider",605,2014-08-06,"Loss","Paper/Films"
"Cancer Specialists of Tidewater","VA","Healthcare Provider",2318,2014-07-31,"Theft","Electronic Medical Record, Other"
"Rite Aid Store 5256","WA","Healthcare Provider",522,2014-07-30,"Theft","Paper/Films"
"Midwest Urological Group","IL","Healthcare Provider",982,2014-07-30,"Theft","Laptop"
"PRN Medical Services, LLC dba Symbius Medical, LLC","AZ","Healthcare Provider",13877,2014-07-29,"Other, Theft, Unauthorized Access/Disclosure","Email, Network Server"
"Urological Associates of Southern Arizona, P.C.","AZ","Healthcare Provider",3529,2014-07-25,"Improper Disposal","Other"
"Self Regional Healthcare ","SC","Healthcare Provider",38906,2014-07-25,"Theft","Laptop"
"Administracion de Seguros de Salud - Triple S Salud Inc (BA)","PR","Health Plan",7911,2014-07-18,"Unauthorized Access/Disclosure","Other Portable Electronic Device"
"Minneapolis VA Health Care System","MN","Health Plan",500,2014-07-17,"Unauthorized Access/Disclosure","Paper/Films"
"Bay Area Pain Medical Associates ","CA","Healthcare Provider",2780,2014-07-16,"Theft","Desktop Computer"
"University of Pennsylvania Health System","PA","Healthcare Provider",661,2014-07-16,"Theft","Paper/Films"
"Indian Health Service -Rosebud","MD","Healthcare Provider",620,2014-07-15,"Loss","Paper/Films"
"Western Regional Center for Brain and Spine Surgery","NV","Healthcare Provider",12000,2014-07-12,"Theft","Network Server"
"Haley Chiropractic Clinic","WA","Healthcare Provider",6000,2014-07-08,"Theft","Desktop Computer, Laptop"
"Montana Department of Public Health & Human Services","MT","Health Plan",1062509,2014-07-07,"Hacking/IT Incident","Network Server"
"D&J Optical Inc. ","AL","Health Plan",1100,2014-07-07,"Hacking/IT Incident","Desktop Computer"
"VA Long Beach Healthcare System","CA","Healthcare Provider",592,2014-07-04,"Unauthorized Access/Disclosure","Paper/Films"
"The Union Labor Life Insurance Company","MD","Healthcare Provider",42713,2014-06-27,"Theft","Laptop"
"Alabama Department of Public Health","AL","Healthcare Provider",1200,2014-06-26,"Theft","Electronic Medical Record"
"Rady Children's Hospital - San Diego","CA","Healthcare Provider",6307,2014-06-25,"Unauthorized Access/Disclosure","Email, Other"
"Rady Children's Hospital - San Diego","CA","Healthcare Provider",14121,2014-06-24,"Unauthorized Access/Disclosure","Email"
"Riverside County Regional Medical Center","CA","Healthcare Provider",563,2014-06-24,"Theft","Laptop"
"Sloane Stecker Physical Therapy, PC","NY","Healthcare Provider",2000,2014-06-24,"Theft","Electronic Medical Record"
"Colorado Neurodiagnostics, PLLC","CO","Healthcare Provider",750,2014-06-23,"Theft","Laptop"
"Abrham Tekola, M.D.,INC","CA","Healthcare Provider",5471,2014-06-20,"Theft","Desktop Computer"
"NYU Hospitals Center","NY","Healthcare Provider",872,2014-06-20,"Theft","Laptop"
"NRAD Medical Associates, P.C.","NY","Healthcare Provider",97000,2014-06-20,"Hacking/IT Incident, Unauthorized Access/Disclosure","Desktop Computer, Other Portable Electronic Device"
"David DiGiallorenzo, D.M.D.","PA","Healthcare Provider",11000,2014-06-19,"Hacking/IT Incident, Unauthorized Access/Disclosure","Other"
"IHS","MD","Health Plan",620,2014-06-19,"Unauthorized Access/Disclosure","Other"
"Group Health Plan of Hurley Medical Center","MI","Health Plan",2289,2014-06-16,"Unauthorized Access/Disclosure","Email"
"Baylor Medical Center at Carrollton","TX","Healthcare Provider",2874,2014-06-13,"Unauthorized Access/Disclosure","Electronic Medical Record"
"Santa Rosa Memorial Hospital, Privacy Manager Breach","CA","Healthcare Provider",33702,2014-06-13,"Theft","Other Portable Electronic Device"
"St. Francis Hospital","GA","Healthcare Provider",1175,2014-06-09,"Unauthorized Access/Disclosure","Email"
"Walgreen Co.","IL","Healthcare Provider",540,2014-06-06,"Theft","Desktop Computer, Paper/Films"
"Penn State Milton S. Hershey Medical Center","PA","Healthcare Provider",1801,2014-06-06,"Unauthorized Access/Disclosure","Email, Other Portable Electronic Device"
"Mark A. Gillispie","CA","Healthcare Provider",5845,2014-06-06,"Theft","Desktop Computer"
"Open Cities Health Center","MN","Healthcare Provider",1304,2014-06-05,"Unauthorized Access/Disclosure","Email"
"Salina Health Education dba Salina Healthcare Center","KS","Healthcare Provider",9640,2014-06-05,"Unauthorized Access/Disclosure","Email"
"Triple-S Salud ","PR","Health Plan",56853,2014-05-29,"Unauthorized Access/Disclosure","Paper/Films"
"Bay Park Hospital","OH","Healthcare Provider",594,2014-05-28,"Unauthorized Access/Disclosure","Electronic Medical Record, Network Server"
"Jamaica Hospital Medical Center","NY","Healthcare Provider",26162,2014-05-23,"Unauthorized Access/Disclosure","Desktop Computer"
"Humana Inc [case #15381]","KY","Health Plan",2962,2014-05-23,"Theft","Other Portable Electronic Device"
"Elliot Health System","NH","Healthcare Provider",1208,2014-05-21,"Theft","Desktop Computer"
"Central City Concern","OR","Healthcare Provider",17914,2014-05-19,"Unauthorized Access/Disclosure","Other"
"American Health Inc. ","PR","Health Plan",11531,2014-05-18,"Unauthorized Access/Disclosure","Paper/Films"
"Howard L. Weinstein D.P.M.","TX","Healthcare Provider",1000,2014-05-10,"Theft","Laptop"
"Options Counseling Center","NJ","Healthcare Provider",2828,2014-05-09,"Theft, Unauthorized Access/Disclosure","Paper/Films"
"Porter, MD, Steven","UT","Healthcare Provider",500,2014-05-06,"Improper Disposal","Network Server"
"UMass Memorial Medical Center","MA","Healthcare Provider",2387,2014-05-05,"Unauthorized Access/Disclosure","Electronic Medical Record, Paper/Films"
"Reading Health System","PA","Healthcare Provider",1845,2014-04-29,"Loss","Paper/Films"
"Flowers Hospital","AL","Healthcare Provider",629,2014-04-25,"Theft","Paper/Films"
"Iowa Medicaid Enterprise","IA","Health Plan",862,2014-04-25,"Unauthorized Access/Disclosure","Paper/Films"
"HealthTexas Provider Network","TX","Healthcare Provider",2742,2014-04-25,"Hacking/IT Incident","Email"
"Baylor Regional Medical Center at Plano","TX","Healthcare Provider",1981,2014-04-25,"Hacking/IT Incident","Email"
"Baylor Medical Center at Irving","TX","Healthcare Provider",2308,2014-04-25,"Hacking/IT Incident","Email"
"Baylor Medical Center at McKinney","TX","Healthcare Provider",1253,2014-04-25,"Hacking/IT Incident","Email"
"Sorenson Communications/CaptionCall Group Health Plan","UT","Health Plan",9800,2014-04-24,"Hacking/IT Incident","Network Server"
"Willis North America Inc. Medical Expense Benefit Plan","NY","Health Plan",4830,2014-04-24,"Unauthorized Access/Disclosure","Email"
"Tufts Associated Health Maintenance Organization, Inc. and Tufts Insurance Company ","MA","Health Plan",8830,2014-04-24,"Theft","Other"
"Ladies First Choice, Inc.","FL","Healthcare Provider",2365,2014-04-23,"Theft, Unauthorized Access/Disclosure","Laptop"
"Centura Health","CO","Healthcare Provider",12286,2014-04-22,"Hacking/IT Incident","Email"
"Larsen Dental Care LLC","ID","Healthcare Provider",6900,2014-04-18,"Theft","Other Portable Electronic Device"
"Shaker Clinic","OH","Healthcare Provider",617,2014-04-18,"Loss","Paper/Films"
"Greenwood Leflore Hospital","MS","Healthcare Provider",3750,2014-04-16,"Theft","Other"
"IHS","MD","Health Plan",5000,2014-04-15,"Unauthorized Access/Disclosure","Other"
"Healthy Connections, Inc","CA","Healthcare Provider",793,2014-04-14,"Loss","Other Portable Electronic Device"
"University Urology, P.C.","TN","Healthcare Provider",1144,2014-04-14,"Unauthorized Access/Disclosure","Paper/Films"
"BLUE CROSS AND BLUE SHIELD OF KANSAS CITY","MO","Health Plan",2546,2014-04-11,"Unauthorized Access/Disclosure","Other"
"Clinical Reference Laboratory, Inc.","KS","Healthcare Provider",979,2014-04-09,"Loss","Paper/Films"
"Florida Healthy Kids Corporation","FL","Health Plan",580,2014-04-09,"Unauthorized Access/Disclosure","Paper/Films"
"Presence St. Joseph's Medical Center","IL","Healthcare Provider",836,2014-04-04,"Other","Paper/Films"
"Michigan Department of Community Health","MI","Healthcare Provider",2595,2014-04-03,"Theft","Other Portable Electronic Device"
"American Health Inc. ","PR","Health Plan",17776,2014-04-03,"Theft","Other"
"Triple-S Salud ","PR","Health Plan",5795,2014-04-02,"Theft","Other"
"KP Northern CA Department of Research","CA","Healthcare Provider",5178,2014-04-02,"Hacking/IT Incident","Network Server"
"Indian Health Service","MD","Health Plan",214000,2014-04-01,"Unauthorized Access/Disclosure","Laptop"
"Midwest Orthopaedics at Rush, LLC","IL","Healthcare Provider",1256,2014-03-31,"Hacking/IT Incident","Email"
"Myriad Genetic Laboratories, Inc.","UT","Healthcare Provider",643,2014-03-29,"Unauthorized Access/Disclosure","Email"
"Palomar Health, Privacy Manager Breach","CA","Healthcare Provider",5499,2014-03-28,"Theft","Other Portable Electronic Device"
"Franciscan Medical Group","WA","Healthcare Provider",8300,2014-03-28,"Other","Email"
